scenario,region,sector,subsector,year,value,reductions,type
announced pledges scenario,world,total,total final consumption,2020,19521.6,0,weo
net zero emissions by 2050 scenario,world,total,total final consumption,2020,19521.6,0,weo
stated policies scenario,world,total,total final consumption,2030,21627,-0.107849766,weo
announced pledges scenario,world,total,total final consumption,2030,18784.8,0.037742808,weo
net zero emissions by 2050 scenario,world,total,total final consumption,2030,14765,0.243658307,weo
stated policies scenario,world,total,total final consumption,2040,21501.3,-0.101410745,weo
announced pledges scenario,world,total,total final consumption,2040,13438.2,0.311624047,weo
net zero emissions by 2050 scenario,world,total,total final consumption,2040,6092.07,0.687931829,weo
stated policies scenario,world,total,total final consumption,2050,21056.1,-0.078605237,weo
announced pledges scenario,world,total,total final consumption,2050,9123.89,0.532625912,weo
net zero emissions by 2050 scenario,world,total,total final consumption,2050,1004.68,0.948534956,weo
